time,value
2009/11/23,0.484
2009/11/24,0.229
2009/11/25,0.51
2009/11/26,0.068
2009/11/27,0.026
2009/11/28,0.775
2009/11/29,0.953
2009/11/30,0.741
2009/12/1,0.161
2009/12/2,0.533
2009/12/3,0.366
2009/12/4,0.198
2009/12/5,0.292
2009/12/6,0.764
2009/12/7,0.306
2009/12/8,0.251
2009/12/9,0.233
2009/12/10,0.179
2009/12/11,0.142
2009/12/12,0.13
2009/12/13,0.118
2009/12/14,0.14
2009/12/15,0.17
2009/12/16,0.193
2009/12/17,0.241
2009/12/18,0.198
2009/12/19,0.149
2009/12/20,0.142
2009/12/21,0.167
2009/12/22,0.201
2009/12/23,0.464
2009/12/24,0.528
2009/12/25,0.369
2009/12/26,0.402
2009/12/27,0.314
2009/12/28,0.242
2009/12/29,1.01
2009/12/30,1.12
2009/12/31,0.531
2010/1/1,0.405
2010/1/2,0.374
2010/1/3,0.334
2010/1/4,0.288
2010/1/5,0.293
2010/1/6,0.32
2010/1/7,0.312
2010/1/8,0.293
2010/1/9,0.263
2010/1/10,0.281
2010/1/11,0.292
2010/1/12,0.255
2010/1/13,0.283
2010/1/14,0.358
2010/1/15,0.432
2010/1/16,0.776
2010/1/17,0.466
2010/1/18,0.351
2010/1/19,0.303
2010/1/20,0.292
2010/1/21,0.286
2010/1/22,0.572
2010/1/23,0.477
2010/1/24,0.405
2010/1/25,0.441
2010/1/26,0.331
2010/1/27,0.298
2010/1/28,0.36
2010/1/29,0.667
2010/1/30,0.336
2010/1/31,0.315
2010/2/1,0.326
2010/2/2,0.361
2010/2/3,0.345
2010/2/4,0.356
2010/2/5,0.477
2010/2/6,0.293
2010/2/7,0.27
2010/2/8,0.316
2010/2/9,0.301
2010/2/10,0.291
2010/2/11,0.293
2010/2/12,0.328
2010/2/13,0.302
2010/2/14,0.294
2010/2/15,0.286
2010/2/16,0.42
2010/2/17,0.331
2010/2/18,0.392
2010/2/19,0.412
2010/2/20,0.281
2010/2/21,0.405
2010/2/22,0.712
2010/2/23,0.509
2010/2/24,0.573
2010/2/25,0.622
2010/2/26,0.639
2010/2/27,0.702
2010/2/28,1.55
2010/3/1,0.523
2010/3/2,0.442
2010/3/3,0.417
2010/3/4,0.437
2010/3/5,0.404
2010/3/6,0.426
2010/3/7,0.407
2010/3/8,0.394
2010/3/9,0.416
2010/3/10,0.4
2010/3/11,0.364
2010/3/12,0.388
2010/3/13,0.352
2010/3/14,0.323
2010/3/15,0.314
2010/3/16,0.296
2010/3/17,0.288
2010/3/18,0.288
2010/3/19,0.397
2010/3/20,0.38
2010/3/21,0.274
2010/3/22,0.274
2010/3/23,0.28
2010/3/24,0.329
2010/3/25,0.62
2010/3/26,0.342
2010/3/27,0.304
2010/3/28,0.247
2010/3/29,0.379
2010/3/30,0.478
2010/3/31,0.361
2010/4/1,0.316
2010/4/2,0.335
2010/4/3,0.371
2010/4/4,0.246
2010/4/5,0.228
2010/4/6,0.235
2010/4/7,0.229
2010/4/8,0.21
2010/4/9,0.2
2010/4/10,0.192
2010/4/11,0.186
2010/4/12,0.185
2010/4/13,0.175
2010/4/14,0.173
2010/4/15,0.166
2010/4/16,0.161
2010/4/17,0.159
2010/4/18,0.152
2010/4/19,0.151
2010/4/20,0.153
2010/4/21,0.139
2010/4/22,0.142
2010/4/23,0.143
2010/4/24,0.137
2010/4/25,0.243
2010/4/26,0.182
2010/4/27,0.129
2010/4/28,0.128
2010/4/29,0.21
2010/4/30,0.348
2010/5/1,1.17
2010/5/2,1.05
2010/5/3,0.228
2010/5/4,0.173
2010/5/5,0.172
2010/5/6,0.158
2010/5/7,0.157
2010/5/8,0.166
2010/5/9,0.162
2010/5/10,0.148
2010/5/11,0.158
2010/5/12,0.142
2010/5/13,0.142
2010/5/14,0.136
2010/5/15,0.125
2010/5/16,0.121
2010/5/17,0.114
2010/5/18,0.108
2010/5/19,0.108
2010/5/20,0.095
2010/5/21,0.082
2010/5/22,0.076
2010/5/23,0.072
2010/5/24,0.056
2010/5/25,0.064
2010/5/26,0.072
2010/5/27,0.12
2010/5/28,0.07
2010/5/29,0.105
2010/5/30,0.084
2010/5/31,0.071
2010/6/1,0.172
2010/6/2,0.128
2010/6/3,0.066
2010/6/4,0.055
2010/6/5,0.057
2010/6/6,0.111
2010/6/7,0.138
2010/6/8,0.215
2010/6/9,0.217
2010/6/10,0.112
2010/6/11,0.063
2010/6/12,0.041
2010/6/13,0.193
2010/6/14,0.209
2010/6/15,0.057
2010/6/16,0.037
2010/6/17,0.03
2010/6/18,0.032
2010/6/19,0.04
2010/6/20,0.022
2010/6/21,0.013
2010/6/22,0.012
2010/6/23,0.012
2010/6/24,0.011
2010/6/25,0.011
2010/6/26,0.011
2010/6/27,0.011
2010/6/28,0.011
2010/6/29,0.011
2010/6/30,0.011
2010/7/1,0.011
2010/7/2,0.022
2010/7/3,0.031
2010/7/4,0.032
2010/7/5,0.036
2010/7/6,0.036
2010/7/7,0.103
2010/7/8,0.191
2010/7/9,0.057
2010/7/10,0.006
2010/7/11,0.008
2010/7/12,0.048
2010/7/13,0.017
2010/7/14,0.006
2010/7/15,0.006
2010/7/16,0.006
2010/7/17,0.007
2010/7/18,0.006
2010/7/19,0.006
2010/7/20,0.005
2010/7/21,0.007
2010/7/22,0.007
2010/7/23,0.007
2010/7/24,0.006
2010/7/25,0.005
2010/7/26,0.005
2010/7/27,0.006
2010/7/28,0.005
2010/7/29,0.005
2010/7/30,0.005
2010/7/31,0.005
2010/8/1,0.005
2010/8/2,0.005
2010/8/3,0.004
2010/8/4,0.118
2010/8/5,0.028
2010/8/6,0.004
2010/8/7,0.005
2010/8/8,0.006
2010/8/9,0.006
2010/8/10,0.094
2010/8/11,0.036
2010/8/12,0.006
2010/8/13,0.007
2010/8/14,0.067
2010/8/15,0.01
2010/8/16,0.014
2010/8/17,0.013
2010/8/18,0.014
2010/8/19,0.013
2010/8/20,0.013
2010/8/21,0.013
2010/8/22,0.12
2010/8/23,0.426
2010/8/24,0.028
2010/8/25,1.27
2010/8/26,1.3
2010/8/27,0.401
2010/8/28,0.063
2010/8/29,0.028
2010/8/30,0.012
2010/8/31,0.011
2010/9/1,0.011
2010/9/2,0.011
2010/9/3,0.01
2010/9/4,0.01
2010/9/5,0.01
2010/9/6,0.171
2010/9/7,0.248
2010/9/8,0.018
2010/9/9,0.023
2010/9/10,0.022
2010/9/11,0.011
2010/9/12,0.01
2010/9/13,0.01
2010/9/14,0.011
2010/9/15,0.011
2010/9/16,0.011
2010/9/17,0.012
2010/9/18,0.011
2010/9/19,0.011
2010/9/20,0.01
2010/9/21,0.01
2010/9/22,0.01
2010/9/23,0.01
2010/9/24,0.014
2010/9/25,0.013
2010/9/26,0.015
2010/9/27,0.066
2010/9/28,0.018
2010/9/29,0.463
2010/9/30,0.149
2010/10/1,0.342
2010/10/2,0.41
2010/10/3,0.303
2010/10/4,0.057
2010/10/5,0.027
2010/10/6,0.105
2010/10/7,0.016
2010/10/8,0.01
2010/10/9,0.01
2010/10/10,0.011
2010/10/11,0.012
2010/10/12,0.011
2010/10/13,0.01
2010/10/14,0.01
2010/10/15,0.01
2010/10/16,0.021
2010/10/17,0.014
2010/10/18,0.021
2010/10/19,0.271
2010/10/20,0.08
2010/10/21,0.008
2010/10/22,0.032
2010/10/23,0.206
2010/10/24,0.028
2010/10/25,0.011
2010/10/26,0.116
2010/10/27,0.051
2010/10/28,0.007
2010/10/29,0.006
2010/10/30,0.006
2010/10/31,0.018
2010/11/1,0.02
2010/11/2,0.014
2010/11/3,0.02
2010/11/4,0.035
2010/11/5,0.267
2010/11/6,0.174
2010/11/7,0.017
2010/11/8,0.355
2010/11/9,0.105
2010/11/10,0.037
2010/11/11,0.161
2010/11/12,0.067
2010/11/13,0.053
2010/11/14,0.148
2010/11/15,0.079
2010/11/16,0.022
2010/11/17,0.019
2010/11/18,0.031
2010/11/19,0.018
2010/11/20,0.005
2010/11/21,0.002
2010/11/22,0.008
2010/11/23,0.015
2010/11/24,0.008
2010/11/25,0.006
2010/11/26,0.002
2010/11/27,0.004
2010/11/28,0.009
2010/11/29,0.011
2010/11/30,0.019
2010/12/1,0.013
2010/12/2,0.013
2010/12/3,0.005
2010/12/4,0.056
2010/12/5,0.05
2010/12/6,0.021
2010/12/7,0.018
2010/12/8,0.016
2010/12/9,0.006
2010/12/10,0.003
2010/12/11,0.005
2010/12/12,0.004
2010/12/13,0.005
2010/12/14,0.044
2010/12/15,0.032
2010/12/16,0.085
2010/12/17,0.052
2010/12/18,0.022
2010/12/19,0.01
2010/12/20,0.004
2010/12/21,0.004
2010/12/22,0.012
2010/12/23,0.015
2010/12/24,0.008
2010/12/25,0.007
2010/12/26,0.002
2010/12/27,0.034
2010/12/28,0.28
2010/12/29,0.103
2010/12/30,0.052
2010/12/31,0.03
2011/1/1,0.042
2011/1/2,0.045
2011/1/3,0.021
2011/1/4,0.011
2011/1/5,0.031
2011/1/6,0.031
2011/1/7,0.671
2011/1/8,0.242
2011/1/9,0.084
2011/1/10,0.087
2011/1/11,0.268
2011/1/12,0.692
2011/1/13,0.366
2011/1/14,0.237
2011/1/15,0.115
2011/1/16,0.121
2011/1/17,1.11
2011/1/18,0.734
2011/1/19,0.162
2011/1/20,0.14
2011/1/21,0.13
2011/1/22,0.153
2011/1/23,0.15
2011/1/24,0.1
2011/1/25,0.111
2011/1/26,0.154
2011/1/27,0.123
2011/1/28,0.108
2011/1/29,0.112
2011/1/30,0.111
2011/1/31,0.111
2011/2/1,0.115
2011/2/2,0.107
2011/2/3,0.1
2011/2/4,0.099
2011/2/5,0.097
2011/2/6,0.096
2011/2/7,0.099
2011/2/8,0.095
2011/2/9,0.095
2011/2/10,0.222
2011/2/11,0.145
2011/2/12,0.145
2011/2/13,0.227
2011/2/14,0.149
2011/2/15,0.081
2011/2/16,0.069
2011/2/17,0.052
2011/2/18,0.053
2011/2/19,0.402
2011/2/20,0.099
2011/2/21,0.071
2011/2/22,0.069
2011/2/23,0.157
2011/2/24,0.081
2011/2/25,0.101
2011/2/26,0.401
2011/2/27,0.311
2011/2/28,0.212
2011/3/1,0.14
2011/3/2,0.121
2011/3/3,0.114
2011/3/4,0.106
2011/3/5,0.106
2011/3/6,0.101
2011/3/7,0.096
2011/3/8,0.089
2011/3/9,0.085
2011/3/10,0.089
2011/3/11,0.087
2011/3/12,0.086
2011/3/13,0.095
2011/3/14,0.082
2011/3/15,0.079
2011/3/16,0.077
2011/3/17,0.072
2011/3/18,0.092
2011/3/19,0.084
2011/3/20,0.081
2011/3/21,0.079
2011/3/22,0.076
2011/3/23,0.056
2011/3/24,0.04
2011/3/25,0.04
2011/3/26,0.04
2011/3/27,0.04
2011/3/28,0.036
2011/3/29,0.04
2011/3/30,0.058
2011/3/31,0.074
2011/4/1,0.038
2011/4/2,0.03
2011/4/3,0.131
2011/4/4,0.018
2011/4/5,0.002
2011/4/6,0.001
2011/4/7,0.001
2011/4/8,0.001
2011/4/9,0.001
2011/4/10,0.001
2011/4/11,0.005
2011/4/12,0.005
2011/4/13,0.001
2011/4/14,0.002
2011/4/15,0.002
2011/4/16,0.002
2011/4/17,0.001
2011/4/18,0.001
2011/4/19,0
2011/4/20,0
2011/4/21,0
2011/4/22,0
2011/4/23,0.085
2011/4/24,0.041
2011/4/25,0.001
2011/4/26,0.001
2011/4/27,0.001
2011/4/28,0.001
2011/4/29,0.013
2011/4/30,0.002
2011/5/1,0.001
2011/5/2,0.001
2011/5/3,0.002
2011/5/4,0.002
2011/5/5,0.002
2011/5/6,0.001
2011/5/7,0.001
2011/5/8,0.041
2011/5/9,0.001
2011/5/10,0.002
2011/5/11,0.002
2011/5/12,0.002
2011/5/13,0.002
2011/5/14,0.003
2011/5/15,0.002
2011/5/16,0.002
2011/5/17,0.002
2011/5/18,0.002
2011/5/19,0.002
2011/5/20,0.002
2011/5/21,0.002
2011/5/22,0.003
2011/5/23,0.003
2011/5/24,0.004
2011/5/25,0.003
2011/5/26,0.004
2011/5/27,0.004
2011/5/28,0.003
2011/5/29,0.002
2011/5/30,0.002
2011/5/31,0.004
2011/6/1,0.011
2011/6/2,0.011
2011/6/3,0.01
2011/6/4,0.009
2011/6/5,0.01
2011/6/6,0.01
2011/6/7,0.009
2011/6/8,0.01
2011/6/9,0.01
2011/6/10,0.009
2011/6/11,0.008
2011/6/12,0.008
2011/6/13,0.007
2011/6/14,0.007
2011/6/15,0.007
2011/6/16,0.008
2011/6/17,0.008
2011/6/18,0.038
2011/6/19,0.008
2011/6/20,0.002
2011/6/21,0.002
2011/6/22,0.006
2011/6/23,0.003
2011/6/24,0.015
2011/6/25,0.114
2011/6/26,0.002
2011/6/27,0.001
2011/6/28,0.003
2011/6/29,0.003
2011/6/30,0.003
2011/7/1,0.003
2011/7/2,0.003
2011/7/3,0.002
2011/7/4,0.002
2011/7/5,0.002
2011/7/6,0.002
2011/7/7,0.002
2011/7/8,0.007
2011/7/9,0.012
2011/7/10,0.1
2011/7/11,0.057
2011/7/12,0.002
2011/7/13,0.003
2011/7/14,0.003
2011/7/15,0.002
2011/7/16,0.065
2011/7/17,0.139
2011/7/18,0.159
2011/7/19,0.021
2011/7/20,0.003
2011/7/21,0.004
2011/7/22,0.004
2011/7/23,0.005
2011/7/24,0.004
2011/7/25,0.005
2011/7/26,0.005
2011/7/27,0.005
2011/7/28,0.004
2011/7/29,0.004
2011/7/30,0.004
2011/7/31,0.004
2011/8/1,0.003
2011/8/2,0.003
2011/8/3,0.003
2011/8/4,0.004
2011/8/5,0.003
2011/8/6,0.003
2011/8/7,0.004
2011/8/8,0.004
2011/8/9,0.005
2011/8/10,0.004
2011/8/11,0.003
2011/8/12,0.003
2011/8/13,0.003
2011/8/14,0.004
2011/8/15,0.004
2011/8/16,0.004
2011/8/17,0.004
2011/8/18,0.005
2011/8/19,0.004
2011/8/20,0.005
2011/8/21,0.005
2011/8/22,0.005
2011/8/23,0.006
2011/8/24,0.014
2011/8/25,0.012
2011/8/26,0.053
2011/8/27,0.066
2011/8/28,0.028
2011/8/29,0.005
2011/8/30,0.005
2011/8/31,0.006
2011/9/1,0.005
2011/9/2,0.005
2011/9/3,0.005
2011/9/4,0.436
2011/9/5,0.065
2011/9/6,0.007
2011/9/7,0.006
2011/9/8,0.006
2011/9/9,0.005
2011/9/10,0.005
2011/9/11,0.006
2011/9/12,0.009
2011/9/13,0.011
2011/9/14,0.011
2011/9/15,0.01
2011/9/16,0.01
2011/9/17,0.009
2011/9/18,0.009
2011/9/19,0.009
2011/9/20,0.008
2011/9/21,0.008
2011/9/22,0.008
2011/9/23,0.007
2011/9/24,0.007
2011/9/25,0.007
2011/9/26,0.008
2011/9/27,0.011
2011/9/28,0.007
2011/9/29,0.007
2011/9/30,0.008
2011/10/1,0.009
2011/10/2,0.006
2011/10/3,0.006
2011/10/4,0.007
2011/10/5,0.009
2011/10/6,0.012
2011/10/7,0.018
2011/10/8,0.011
2011/10/9,0.01
2011/10/10,0.011
2011/10/11,0.011
2011/10/12,0.013
2011/10/13,0.022
2011/10/14,0.019
2011/10/15,0.016
2011/10/16,0.013
2011/10/17,0.009
2011/10/18,0.013
2011/10/19,0.02
2011/10/20,0.015
2011/10/21,0.009
2011/10/22,0.008
2011/10/23,0.007
2011/10/24,0.005
2011/10/25,0.005
2011/10/26,0.006
2011/10/27,0.007
2011/10/28,0.008
2011/10/29,0.004
2011/10/30,0.004
2011/10/31,0.004
2011/11/1,0.005
2011/11/2,0.004
2011/11/3,0.005
2011/11/4,0.007
2011/11/5,0.01
2011/11/6,0.014
2011/11/7,0.007
2011/11/8,0.007
2011/11/9,0.009
2011/11/10,0.01
2011/11/11,0.01
2011/11/12,0.014
2011/11/13,0.012
2011/11/14,0.011
2011/11/15,0.012
2011/11/16,0.01
2011/11/17,0.026
2011/11/18,0.021
2011/11/19,0.025
2011/11/20,0.021
2011/11/21,0.015
2011/11/22,0.022
2011/11/23,0.018
2011/11/24,0.01
2011/11/25,0.019
2011/11/26,0.008
2011/11/27,0.016
2011/11/28,0.008
2011/11/29,0.009
2011/11/30,0.006
2011/12/1,0.007
2011/12/2,0.005
2011/12/3,0.003
2011/12/4,0.005
2011/12/5,0.009
2011/12/6,0.004
2011/12/7,0.008
2011/12/8,0.003
2011/12/9,0.008
2011/12/10,0.006
2011/12/11,0.002
2011/12/12,0.003
2011/12/13,0.003
2011/12/14,0.003
2011/12/15,0.003
2011/12/16,0.01
2011/12/17,0.012
2011/12/18,0.009
2011/12/19,0.004
2011/12/20,0.007
2011/12/21,0.007
2011/12/22,0.005
2011/12/23,0.063
2011/12/24,0.05
2011/12/25,0.001
2011/12/26,0.004
2011/12/27,0.001
2011/12/28,0.003
2011/12/29,0.001
2011/12/30,0
2011/12/31,0
2012/1/1,0
2012/1/2,0.001
2012/1/3,0.093
2012/1/4,0.021
2012/1/5,0.007
2012/1/6,0.001
2012/1/7,0.003
2012/1/8,0.003
2012/1/9,0.002
2012/1/10,0.003
2012/1/11,0.001
2012/1/12,0.003
2012/1/13,0.004
2012/1/14,0.003
2012/1/15,0.003
2012/1/16,0.003
2012/1/17,0.003
2012/1/18,0.001
2012/1/19,0.003
2012/1/20,0.001
2012/1/21,0.002
2012/1/22,0.005
2012/1/23,0.006
2012/1/24,0.002
2012/1/25,0.002
2012/1/26,0.005
2012/1/27,0.007
2012/1/28,0.007
2012/1/29,0.006
2012/1/30,0.006
2012/1/31,0.008
2012/2/1,0.009
2012/2/2,0.009
2012/2/3,0.009
2012/2/4,0.004
2012/2/5,0.004
2012/2/6,0.007
2012/2/7,0.009
2012/2/8,0.008
2012/2/9,0.006
2012/2/10,0.008
2012/2/11,0.008
2012/2/12,0.003
2012/2/13,0.002
2012/2/14,0.003
2012/2/15,0.007
2012/2/16,0.005
2012/2/17,0.003
2012/2/18,0.009
2012/2/19,0.011
2012/2/20,0.003
2012/2/21,0.003
2012/2/22,0.003
2012/2/23,0.003
2012/2/24,0.006
2012/2/25,0.007
2012/2/26,0.003
2012/2/27,0.002
2012/2/28,0.002
2012/2/29,0.003
2012/3/1,0.005
2012/3/2,0.001
2012/3/3,0.002
2012/3/4,0.005
2012/3/5,0.01
2012/3/6,0.006
2012/3/7,0.012
2012/3/8,0.009
2012/3/9,0.009
2012/3/10,0.011
2012/3/11,0.008
2012/3/12,0.008
2012/3/13,0.009
2012/3/14,0.007
2012/3/15,0.003
2012/3/16,0.002
2012/3/17,0.003
2012/3/18,0.008
2012/3/19,0.006
2012/3/20,0.005
2012/3/21,0.005
2012/3/22,0.004
2012/3/23,0.004
2012/3/24,0.004
2012/3/25,0.004
2012/3/26,0.003
2012/3/27,0.003
2012/3/28,0.001
2012/3/29,0.001
2012/3/30,0.001
2012/3/31,0.004
2012/4/1,0.001
2012/4/2,0.001
2012/4/3,0.001
2012/4/4,0.002
2012/4/5,0.004
2012/4/6,0.001
2012/4/7,0.001
2012/4/8,0.001
2012/4/9,0.001
2012/4/10,0.001
2012/4/11,0.001
2012/4/12,0.001
2012/4/13,0
2012/4/14,0.002
2012/4/15,0.003
2012/4/16,0
2012/4/17,0
2012/4/18,0
2012/4/19,0.001
2012/4/20,0.002
2012/4/21,0.001
2012/4/22,0.001
2012/4/23,0.002
2012/4/24,0.021
2012/4/25,0.764
2012/4/26,0.225
2012/4/27,0.196
2012/4/28,0.825
2012/4/29,1.54
2012/4/30,0.238
2012/5/1,0.871
2012/5/2,0.437
2012/5/3,0.6
2012/5/4,0.134
2012/5/5,0.098
2012/5/6,0.074
2012/5/7,0.072
2012/5/8,0.103
2012/5/9,0.313
2012/5/10,0.408
2012/5/11,0.142
2012/5/12,0.077
2012/5/13,0.064
2012/5/14,0.168
2012/5/15,0.246
2012/5/16,0.103
2012/5/17,0.077
2012/5/18,0.075
2012/5/19,0.073
2012/5/20,0.073
2012/5/21,0.074
2012/5/22,0.064
2012/5/23,0.057
2012/5/24,0.055
2012/5/25,0.046
2012/5/26,0.043
2012/5/27,0.041
2012/5/28,0.043
2012/5/29,0.038
2012/5/30,0.047
2012/5/31,0.051
2012/6/1,0.044
2012/6/2,0.146
2012/6/3,0.9
2012/6/4,0.495
2012/6/5,0.196
2012/6/6,0.183
2012/6/7,0.554
2012/6/8,0.507
2012/6/9,0.162
2012/6/10,0.553
2012/6/11,2.59
2012/6/12,0.613
2012/6/13,0.321
2012/6/14,0.4
2012/6/15,0.498
2012/6/16,0.25
2012/6/17,0.24
2012/6/18,0.306
2012/6/19,0.199
2012/6/20,0.225
2012/6/21,0.479
2012/6/22,0.245
2012/6/23,0.404
2012/6/24,0.661
2012/6/25,0.233
2012/6/26,0.196
2012/6/27,0.195
2012/6/28,0.195
2012/6/29,0.178
2012/6/30,0.172
2012/7/1,0.159
2012/7/2,0.21
2012/7/3,0.236
2012/7/4,0.221
2012/7/5,0.18
2012/7/6,0.432
2012/7/7,0.49
2012/7/8,0.509
2012/7/9,0.215
2012/7/10,0.353
2012/7/11,0.529
2012/7/12,0.586
2012/7/13,0.488
2012/7/14,0.634
2012/7/15,0.366
2012/7/16,0.268
2012/7/17,0.219
2012/7/18,0.313
2012/7/19,0.22
2012/7/20,0.362
2012/7/21,0.267
2012/7/22,0.179
2012/7/23,0.164
2012/7/24,0.161
2012/7/25,0.157
2012/7/26,0.15
2012/7/27,0.151
2012/7/28,0.144
2012/7/29,0.79
2012/7/30,0.268
2012/7/31,0.336
2012/8/1,0.19
2012/8/2,0.194
2012/8/3,0.166
2012/8/4,0.193
2012/8/5,0.215
2012/8/6,0.222
2012/8/7,0.229
2012/8/8,0.148
2012/8/9,0.13
2012/8/10,0.121
2012/8/11,0.115
2012/8/12,0.115
2012/8/13,0.116
2012/8/14,0.108
2012/8/15,0.112
2012/8/16,0.103
2012/8/17,0.092
2012/8/18,0.087
2012/8/19,0.082
2012/8/20,0.082
2012/8/21,0.08
2012/8/22,0.079
2012/8/23,0.076
2012/8/24,0.076
2012/8/25,0.251
2012/8/26,0.114
2012/8/27,0.084
2012/8/28,0.079
2012/8/29,0.275
2012/8/30,0.187
2012/8/31,0.108
2012/9/1,0.087
2012/9/2,0.089
2012/9/3,0.065
2012/9/4,0.065
2012/9/5,0.062
2012/9/6,0.044
2012/9/7,0.037
2012/9/8,0.027
2012/9/9,0.019
2012/9/10,0.021
2012/9/11,0.029
2012/9/12,0.062
2012/9/13,0.065
2012/9/14,0.031
2012/9/15,0.018
2012/9/16,0.016
2012/9/17,0.017
2012/9/18,0.015
2012/9/19,0.012
2012/9/20,0.009
2012/9/21,0.01
2012/9/22,0.014
2012/9/23,0.335
2012/9/24,0.604
2012/9/25,0.115
2012/9/26,0.052
2012/9/27,0.052
2012/9/28,0.049
2012/9/29,0.031
2012/9/30,0.014
2012/10/1,0.036
2012/10/2,0.029
2012/10/3,0.127
2012/10/4,0.232
2012/10/5,0.846
2012/10/6,0.542
2012/10/7,0.095
2012/10/8,0.083
2012/10/9,0.083
2012/10/10,0.042
2012/10/11,0.204
2012/10/12,0.171
2012/10/13,0.099
