time,value
2009/4/20,0.199
2009/4/21,0.189
2009/4/22,0.168
2009/4/23,0.16
2009/4/24,0.172
2009/4/25,0.166
2009/4/26,0.153
2009/4/27,0.292
2009/4/28,0.217
2009/4/29,0.148
2009/4/30,0.145
2009/5/1,0.142
2009/5/2,0.128
2009/5/3,0.133
2009/5/4,0.123
2009/5/5,0.12
2009/5/6,0.114
2009/5/7,0.128
2009/5/8,0.154
2009/5/9,0.116
2009/5/10,0.1
2009/5/11,0.101
2009/5/12,0.087
2009/5/13,0.089
2009/5/14,0.134
2009/5/15,0.315
2009/5/16,0.154
2009/5/17,0.158
2009/5/18,0.109
2009/5/19,0.084
2009/5/20,0.081
2009/5/21,0.083
2009/5/22,0.068
2009/5/23,0.059
2009/5/24,0.05
2009/5/25,0.056
2009/5/26,0.15
2009/5/27,0.085
2009/5/28,0.063
2009/5/29,0.047
2009/5/30,0.037
2009/5/31,0.032
2009/6/1,0.029
2009/6/2,0.023
2009/6/3,0.029
2009/6/4,0.021
2009/6/5,0.102
2009/6/6,0.175
2009/6/7,1.05
2009/6/8,0.134
2009/6/9,0.074
2009/6/10,0.257
2009/6/11,0.171
2009/6/12,0.081
2009/6/13,0.036
2009/6/14,0.029
2009/6/15,0.025
2009/6/16,0.027
2009/6/17,0.024
2009/6/18,0.02
2009/6/19,0.026
2009/6/20,0.02
2009/6/21,0.019
2009/6/22,0.02
2009/6/23,0.018
2009/6/24,0.014
2009/6/25,0.026
2009/6/26,0.757
2009/6/27,1.12
2009/6/28,0.309
2009/6/29,0.063
2009/6/30,0.028
2009/7/1,0.021
2009/7/2,0.02
2009/7/3,0.02
2009/7/4,0.019
2009/7/5,0.019
2009/7/6,0.019
2009/7/7,0.512
2009/7/8,0.188
2009/7/9,0.036
2009/7/10,0.02
2009/7/11,0.036
2009/7/12,0.117
2009/7/13,0.038
2009/7/14,0.023
2009/7/15,0.042
2009/7/16,0.09
2009/7/17,0.99
2009/7/18,0.2
2009/7/19,0.324
2009/7/20,0.11
2009/7/21,0.191
2009/7/22,0.073
2009/7/23,0.08
2009/7/24,0.133
2009/7/25,0.076
2009/7/26,0.027
2009/7/27,0.083
2009/7/28,0.04
2009/7/29,0.075
2009/7/30,0.107
2009/7/31,0.03
2009/8/1,0.186
2009/8/2,0.124
2009/8/3,0.029
2009/8/4,0.019
2009/8/5,0.154
2009/8/6,2.36
2009/8/7,0.692
2009/8/8,0.123
2009/8/9,0.084
2009/8/10,0.073
2009/8/11,0.067
2009/8/12,0.076
2009/8/13,0.068
2009/8/14,0.044
2009/8/15,0.039
2009/8/16,0.031
2009/8/17,0.028
2009/8/18,0.021
2009/8/19,0.021
2009/8/20,0.025
2009/8/21,0.094
2009/8/22,0.05
2009/8/23,0.022
2009/8/24,0.02
2009/8/25,0.25
2009/8/26,0.15
2009/8/27,0.044
2009/8/28,0.023
2009/8/29,0.024
2009/8/30,0.017
2009/8/31,0.017
2009/9/1,0.023
2009/9/2,0.226
2009/9/3,0.177
2009/9/4,0.034
2009/9/5,0.026
2009/9/6,0.019
2009/9/7,0.018
2009/9/8,0.023
2009/9/9,0.033
2009/9/10,0.029
2009/9/11,0.026
2009/9/12,0.025
2009/9/13,0.023
2009/9/14,0.02
2009/9/15,0.02
2009/9/16,0.022
2009/9/17,0.022
2009/9/18,0.021
2009/9/19,0.019
2009/9/20,0.023
2009/9/21,0.019
2009/9/22,0.019
2009/9/23,0.02
2009/9/24,0.025
2009/9/25,0.024
2009/9/26,0.024
2009/9/27,0.019
2009/9/28,0.015
2009/9/29,0.016
2009/9/30,0.015
2009/10/1,0.016
2009/10/2,0.015
2009/10/3,0.027
2009/10/4,0.028
2009/10/5,0.024
2009/10/6,0.023
2009/10/7,0.026
2009/10/8,0.023
2009/10/9,0.018
2009/10/10,0.017
2009/10/11,0.02
2009/10/12,0.029
2009/10/13,0.023
2009/10/14,0.026
2009/10/15,0.02
2009/10/16,0.03
2009/10/17,0.025
2009/10/18,0.018
2009/10/19,0.017
2009/10/20,0.015
2009/10/21,0.015
2009/10/22,0.017
2009/10/23,0.019
2009/10/24,0.024
2009/10/25,0.027
2009/10/26,0.024
2009/10/27,0.021
2009/10/28,0.02
2009/10/29,0.019
2009/10/30,0.025
2009/10/31,0.03
2009/11/1,0.047
2009/11/2,0.051
2009/11/3,0.051
2009/11/4,0.05
2009/11/5,0.05
2009/11/6,0.047
2009/11/7,0.049
2009/11/8,0.055
2009/11/9,0.05
2009/11/10,0.047
2009/11/11,0.045
2009/11/12,0.045
2009/11/13,0.466
2009/11/14,0.542
2009/11/15,0.127
2009/11/16,0.31
2009/11/17,0.053
2009/11/18,0.022
2009/11/19,0.019
2009/11/20,0.019
2009/11/21,0.069
2009/11/22,0.508
